"Time","Fase A"
2025-04-01 02:15:00,0.730
2025-04-01 02:45:00,0.640
2025-04-01 03:00:00,0.680
2025-04-01 04:45:00,0.570
2025-04-01 06:00:00,0.590
2025-04-01 06:15:00,0.595
2025-04-01 06:30:00,0.639
2025-04-01 06:45:00,0.601
2025-04-01 07:00:00,0.280
2025-04-01 07:15:00,0.150
2025-04-01 08:15:00,1.67
2025-04-01 09:30:00,-0.40
2025-04-01 10:00:00,-0.54
2025-04-01 10:15:00,-0.47
2025-04-01 10:45:00,3.42
2025-04-01 11:00:00,-0.29
2025-04-01 11:15:00,1.85
2025-04-01 11:30:00,0.0100
2025-04-01 11:45:00,0.0471
2025-04-01 12:00:00,0.959
2025-04-01 12:15:00,0
2025-04-01 12:45:00,2.97
2025-04-01 13:00:00,0.220
2025-04-01 13:15:00,3.84
2025-04-01 13:30:00,0.0367
2025-04-01 14:15:00,-0.33
2025-04-01 14:30:00,-0.50
2025-04-01 15:00:00,-0.39
2025-04-01 15:15:00,0.857
2025-04-01 15:30:00,0.642
2025-04-01 15:45:00,0.336
2025-04-01 16:00:00,4.35
2025-04-01 16:15:00,0
2025-04-01 16:30:00,-0.18
2025-04-01 16:45:00,1.43
2025-04-01 17:00:00,1.33
2025-04-01 17:15:00,0.607
2025-04-01 17:30:00,1.80
2025-04-01 17:45:00,0.227
2025-04-01 18:00:00,0.975
2025-04-01 18:15:00,1.08
2025-04-01 18:30:00,1.41
2025-04-01 18:45:00,1.55
2025-04-01 19:00:00,0.966
2025-04-01 19:15:00,1.30
2025-04-01 19:30:00,0.733
2025-04-01 19:45:00,0.180
2025-04-01 20:00:00,0.475
2025-04-01 20:15:00,0.581
2025-04-01 20:30:00,0.416
2025-04-01 20:45:00,0.889
2025-04-01 21:00:00,0.510
2025-04-01 21:15:00,0.197
2025-04-01 21:30:00,1.20
2025-04-01 21:45:00,0.684
2025-04-01 22:00:00,0.936
2025-04-01 22:15:00,1.41
2025-04-01 22:30:00,0.220
2025-04-02 06:00:00,0.500
2025-04-02 06:15:00,0.523
2025-04-02 06:30:00,0.463
2025-04-02 06:45:00,0.462
2025-04-02 07:00:00,0.367
2025-04-02 07:15:00,0.851
2025-04-02 07:30:00,0.919
2025-04-02 07:45:00,0.860
2025-04-02 08:00:00,0.255
2025-04-02 08:45:00,-0.39
2025-04-02 09:15:00,1.31
2025-04-02 09:30:00,-0.23
2025-04-02 09:45:00,-0.26
2025-04-02 10:00:00,0.910
2025-04-02 10:15:00,0.900
2025-04-02 10:30:00,0.394
2025-04-02 10:45:00,0.994
2025-04-02 11:00:00,2.40
2025-04-02 11:15:00,0.225
2025-04-02 11:30:00,1.81
2025-04-02 11:45:00,1.24
2025-04-02 12:15:00,0.855
2025-04-02 12:30:00,0.846
2025-04-02 12:45:00,3.10
2025-04-02 13:00:00,0.858
2025-04-02 13:15:00,2.63
2025-04-02 13:30:00,1.96
2025-04-02 13:45:00,1.58
2025-04-02 14:00:00,1.55
2025-04-02 14:15:00,0.883
2025-04-02 14:30:00,-0.14
2025-04-02 14:45:00,2.62
2025-04-02 15:00:00,2.14
2025-04-02 15:15:00,1.82
2025-04-02 15:30:00,2.67
2025-04-02 15:45:00,2.62
2025-04-02 16:00:00,3.22
2025-04-02 16:15:00,2.79
2025-04-02 16:30:00,2.37
