"Time","Fase B"
2025-07-01 01:15:00,1.23
2025-07-01 04:00:00,1.34
2025-07-01 04:45:00,1.44
2025-07-01 05:15:00,1.24
2025-07-01 05:45:00,1.22
2025-07-01 07:30:00,7.04
2025-07-01 07:45:00,8.52
2025-07-01 08:15:00,9.79
2025-07-01 09:00:00,11.8
2025-07-01 12:00:00,4.90
2025-07-01 13:00:00,6.49
2025-07-01 13:15:00,5.73
2025-07-01 14:00:00,8.83
2025-07-01 16:45:00,2.81
2025-07-01 17:15:00,2.85
2025-07-01 17:30:00,2.27
2025-07-01 18:15:00,1.69
2025-07-01 18:30:00,1.69
2025-07-01 20:45:00,4.98
2025-07-01 21:00:00,4.52
2025-07-01 21:15:00,4.98
2025-07-01 21:30:00,4.00
2025-07-01 21:45:00,3.33
2025-07-01 22:00:00,1.74
2025-07-01 22:15:00,1.51
2025-07-01 22:30:00,1.46
2025-07-01 22:45:00,1.43
2025-07-01 23:00:00,1.27
2025-07-01 23:15:00,1.25
2025-07-01 23:30:00,1.32
2025-07-01 23:45:00,1.25
2025-07-02 00:00:00,1.25
2025-07-02 00:15:00,1.32
2025-07-02 00:30:00,1.23
2025-07-02 00:45:00,1.23
2025-07-02 01:00:00,1.29
2025-07-02 01:15:00,1.24
2025-07-02 01:30:00,1.24
2025-07-02 01:45:00,1.32
2025-07-02 02:00:00,1.24
2025-07-02 02:15:00,1.23
2025-07-02 02:30:00,1.23
2025-07-02 02:45:00,1.26
2025-07-02 03:00:00,1.36
2025-07-02 03:15:00,1.40
2025-07-02 03:30:00,1.31
2025-07-02 04:00:00,1.35
2025-07-02 04:15:00,1.24
2025-07-02 04:30:00,1.25
2025-07-02 04:45:00,1.34
2025-07-02 05:00:00,1.22
2025-07-02 05:15:00,1.22
2025-07-02 05:30:00,1.37
2025-07-02 05:45:00,1.24
2025-07-02 06:00:00,1.23
2025-07-02 06:15:00,1.30
2025-07-02 07:00:00,5.33
2025-07-02 07:45:00,6.45
2025-07-02 08:45:00,9.53
2025-07-02 09:00:00,12.1
2025-07-02 09:15:00,11.3
2025-07-02 09:45:00,8.49
2025-07-02 11:30:00,11.7
2025-07-02 13:15:00,6.47
2025-07-02 17:30:00,1.93
2025-07-02 17:45:00,1.72
2025-07-02 20:00:00,6.29
2025-07-02 20:30:00,6.53
2025-07-02 20:45:00,6.40
2025-07-02 21:00:00,4.54
2025-07-02 21:15:00,3.72
2025-07-02 21:30:00,4.44
2025-07-02 21:45:00,4.48
2025-07-02 22:00:00,4.29
2025-07-02 22:15:00,2.51
2025-07-02 22:30:00,1.57
2025-07-02 22:45:00,1.41
2025-07-02 23:00:00,1.45
2025-07-02 23:15:00,1.26
2025-07-02 23:30:00,1.27
2025-07-02 23:45:00,1.31
2025-07-03 00:00:00,1.27
2025-07-03 00:15:00,1.25
2025-07-03 00:30:00,1.34
2025-07-03 00:45:00,1.25
2025-07-03 01:00:00,1.27
2025-07-03 01:15:00,1.31
2025-07-03 01:30:00,1.27
2025-07-03 01:45:00,1.27
2025-07-03 02:00:00,1.34
2025-07-03 02:15:00,1.28
2025-07-03 02:30:00,1.35
