"Time","Fase C"
2025-08-01 00:00:00,6.43
2025-08-01 00:30:00,5.07
2025-08-01 01:30:00,7.31
2025-08-01 02:30:00,7.93
2025-08-01 02:45:00,6.69
2025-08-01 03:15:00,5.21
2025-08-01 03:30:00,6.42
2025-08-01 03:45:00,7.47
2025-08-01 04:00:00,6.16
2025-08-01 04:15:00,6.32
2025-08-01 04:30:00,7.74
2025-08-01 04:45:00,7.05
2025-08-01 05:00:00,6.24
2025-08-01 05:15:00,6.79
2025-08-01 05:30:00,7.58
2025-08-01 05:45:00,7.93
2025-08-01 06:00:00,6.14
2025-08-01 06:15:00,6.94
2025-08-01 06:30:00,7.05
2025-08-01 06:45:00,7.81
2025-08-01 07:00:00,7.18
2025-08-01 07:15:00,5.98
2025-08-01 07:30:00,7.35
2025-08-01 08:00:00,8.21
2025-08-01 08:15:00,10.1
2025-08-01 08:30:00,8.49
2025-08-01 08:45:00,11.8
2025-08-01 09:15:00,12.5
2025-08-01 09:30:00,15.0
2025-08-01 09:45:00,13.2
2025-08-01 10:00:00,11.8
2025-08-01 10:15:00,14.5
2025-08-01 10:30:00,12.1
2025-08-01 11:00:00,15.2
2025-08-01 11:15:00,11.1
2025-08-01 11:30:00,12.4
2025-08-01 11:45:00,11.1
2025-08-01 12:15:00,11.8
2025-08-01 12:30:00,13.5
2025-08-01 14:00:00,11.5
2025-08-01 16:30:00,11.0
2025-08-01 17:00:00,8.41
2025-08-01 18:30:00,8.80
2025-08-01 19:15:00,7.58
2025-08-01 19:30:00,8.24
2025-08-01 19:45:00,7.77
2025-08-01 20:00:00,8.41
2025-08-01 20:30:00,7.49
2025-08-01 20:45:00,8.58
2025-08-01 21:00:00,8.93
2025-08-01 21:15:00,7.60
2025-08-01 21:45:00,8.11
2025-08-01 22:00:00,8.85
2025-08-01 22:45:00,7.47
2025-08-01 23:00:00,7.71
2025-08-01 23:15:00,5.50
2025-08-01 23:30:00,7.15
2025-08-01 23:45:00,8.67
2025-08-02 00:30:00,6.72
2025-08-02 01:00:00,7.26
2025-08-02 01:30:00,6.87
2025-08-02 01:45:00,6.15
2025-08-02 02:15:00,6.04
2025-08-02 02:30:00,5.33
2025-08-02 04:00:00,6.76
2025-08-02 05:15:00,6.80
2025-08-02 05:30:00,6.12
2025-08-02 06:15:00,7.26
2025-08-02 07:00:00,7.52
2025-08-02 07:30:00,5.46
2025-08-02 10:15:00,8.47
2025-08-02 10:30:00,6.24
2025-08-02 10:45:00,5.88
2025-08-02 11:00:00,5.71
2025-08-02 11:30:00,5.74
2025-08-02 11:45:00,7.26
2025-08-02 12:15:00,5.99
2025-08-02 12:30:00,5.56
2025-08-02 12:45:00,6.93
2025-08-02 13:15:00,6.81
2025-08-02 13:30:00,4.88
2025-08-02 14:45:00,5.45
2025-08-02 16:45:00,9.60
2025-08-02 17:00:00,5.12
2025-08-02 17:15:00,5.37
2025-08-02 19:15:00,5.63
2025-08-05 12:00:00,9.24
2025-08-05 12:15:00,8.60
2025-08-05 16:00:00,15.6
2025-08-05 16:45:00,13.2
2025-08-05 17:30:00,8.65
2025-08-05 18:00:00,9.13
2025-08-05 21:15:00,8.59
2025-08-05 22:00:00,8.37
2025-08-05 22:15:00,7.16
2025-08-05 22:45:00,7
2025-08-05 23:00:00,6.30
2025-08-05 23:15:00,5.98
2025-08-05 23:45:00,5.92
2025-08-06 00:15:00,6.23
2025-08-06 00:30:00,6.09
2025-08-06 00:45:00,6.10
2025-08-06 01:00:00,5.92
2025-08-06 01:15:00,6.19
2025-08-06 01:30:00,6.25
2025-08-06 01:45:00,6.12
2025-08-06 02:00:00,6.28
2025-08-06 02:15:00,6.06
2025-08-06 02:30:00,6.19
2025-08-06 02:45:00,5.91
2025-08-06 03:00:00,6.40
2025-08-06 03:15:00,6.25
2025-08-06 03:30:00,6.25
2025-08-06 03:45:00,6.22
2025-08-06 04:00:00,6.23
2025-08-06 04:15:00,6.06
2025-08-06 04:30:00,6.33
2025-08-06 04:45:00,6.31
2025-08-06 05:00:00,6.07
2025-08-06 05:15:00,6.17
2025-08-06 05:30:00,6.59
2025-08-06 05:45:00,6.17
2025-08-06 06:00:00,6.11
2025-08-06 06:15:00,7.47
2025-08-06 06:30:00,6.14
