"Time","Fase C"
2025-09-14 18:30:00,0.656
2025-09-14 18:45:00,0.826
2025-09-14 19:00:00,0.605
2025-09-14 19:15:00,0.564
2025-09-14 19:30:00,0.967
2025-09-14 19:45:00,0.814
2025-09-14 20:00:00,0.554
2025-09-14 20:15:00,0.551
2025-09-14 20:30:00,0.729
2025-09-14 20:45:00,0.736
2025-09-14 21:00:00,0.838
2025-09-14 21:15:00,0.927
2025-09-14 21:30:00,0.867
2025-09-14 21:45:00,0.833
2025-09-14 22:00:00,0.722
2025-09-14 22:15:00,0.894
2025-09-14 22:30:00,0.761
2025-09-14 22:45:00,0.715
2025-09-14 23:00:00,0.580
2025-09-14 23:15:00,0.708
2025-09-14 23:30:00,0.564
2025-09-14 23:45:00,0.690
2025-09-15 00:00:00,0.702
2025-09-15 00:15:00,0.559
2025-09-15 00:30:00,0.656
2025-09-15 00:45:00,0.658
2025-09-15 01:00:00,1.05
2025-09-15 01:15:00,0.811
2025-09-15 01:30:00,0.729
2025-09-15 01:45:00,0.605
2025-09-15 02:00:00,0.558
2025-09-15 02:15:00,0.855
2025-09-15 02:30:00,0.771
2025-09-15 02:45:00,0.600
2025-09-15 03:00:00,0.558
2025-09-15 03:15:00,0.621
2025-09-15 03:30:00,0.861
2025-09-15 03:45:00,0.782
2025-09-15 04:00:00,0.642
2025-09-15 04:15:00,0.670
2025-09-15 04:30:00,0.737
2025-09-15 04:45:00,0.604
2025-09-15 05:00:00,0.712
2025-09-15 05:15:00,0.665
2025-09-15 05:30:00,0.898
2025-09-15 05:45:00,0.822
2025-09-15 06:00:00,0.795
2025-09-15 06:15:00,0.733
2025-09-15 06:30:00,0.762
2025-09-15 06:45:00,0.452
2025-09-15 07:00:00,0.314
2025-09-15 07:15:00,-0.26
2025-09-15 07:30:00,-0.31
2025-09-15 07:45:00,0.0359
2025-09-15 08:00:00,-0.35
2025-09-15 08:15:00,-0.33
2025-09-15 08:30:00,-0.42
2025-09-15 08:45:00,-0.36
2025-09-15 09:00:00,-0.015
2025-09-15 09:15:00,-0.13
2025-09-15 09:30:00,0.118
2025-09-15 09:45:00,-0.080
2025-09-15 10:00:00,-0.080
2025-09-15 10:15:00,-0.022
2025-09-15 10:30:00,0.00806
2025-09-15 10:45:00,-0.11
2025-09-15 11:00:00,-0.15
2025-09-15 11:15:00,-0.11
2025-09-15 11:30:00,-0.098
2025-09-15 11:45:00,0.0213
2025-09-15 12:00:00,0.181
2025-09-15 12:15:00,-0.084
2025-09-15 12:30:00,0.0883
2025-09-15 12:45:00,-0.012
2025-09-15 13:00:00,0.168
2025-09-15 13:15:00,-0.025
2025-09-15 13:30:00,0.00820
2025-09-15 13:45:00,-0.41
2025-09-15 14:00:00,-0.41
2025-09-15 14:15:00,-0.45
2025-09-15 14:30:00,-0.18
2025-09-15 14:45:00,-0.25
2025-09-15 15:00:00,-0.27
2025-09-15 15:15:00,-0.11
2025-09-15 15:30:00,-0.30
2025-09-15 15:45:00,-0.26
2025-09-15 16:00:00,-0.21
2025-09-15 16:15:00,-0.37
2025-09-15 16:30:00,-0.26
2025-09-15 16:45:00,-0.096
2025-09-15 17:00:00,-0.033
2025-09-15 17:15:00,-0.046
2025-09-15 17:30:00,-0.080
2025-09-15 17:45:00,0.0714
2025-09-15 18:00:00,0.259
2025-09-15 18:15:00,0.702
2025-09-15 18:30:00,0.490
2025-09-15 18:45:00,0.320
2025-09-15 19:00:00,0.384
2025-09-15 19:15:00,0.253
2025-09-15 19:30:00,0.247
2025-09-15 19:45:00,-0.091
2025-09-15 20:00:00,-0.060
2025-09-15 20:15:00,0.0148
2025-09-15 20:30:00,0.312
2025-09-15 20:45:00,0.290
2025-09-15 21:00:00,0.586
2025-09-15 21:15:00,0.482
2025-09-15 21:30:00,0.245
2025-09-15 21:45:00,0.503
2025-09-15 22:00:00,0.267
2025-09-15 22:15:00,0.344
2025-09-15 22:30:00,0.296
2025-09-15 22:45:00,0.842
2025-09-15 23:00:00,0.849
2025-09-15 23:15:00,0.639
2025-09-15 23:30:00,0.783
2025-09-15 23:45:00,0.963
2025-09-16 00:00:00,0.622
2025-09-16 00:15:00,0.604
2025-09-16 00:30:00,0.509
2025-09-16 00:45:00,0.800
2025-09-16 01:00:00,1.15
2025-09-16 01:15:00,0.952
2025-09-16 01:30:00,0.693
2025-09-16 01:45:00,0.738
2025-09-16 02:00:00,0.609
2025-09-16 02:15:00,0.723
2025-09-16 02:30:00,0.530
2025-09-16 02:45:00,0.591
2025-09-16 03:00:00,0.773
2025-09-16 03:15:00,0.692
2025-09-16 03:30:00,0.614
2025-09-16 03:45:00,0.626
2025-09-16 04:00:00,0.538
2025-09-16 04:15:00,0.879
2025-09-16 04:30:00,0.775
2025-09-16 04:45:00,0.772
2025-09-16 05:00:00,0.830
2025-09-16 05:15:00,0.794
2025-09-16 05:30:00,0.650
2025-09-16 05:45:00,0.516
2025-09-16 06:00:00,0.392
2025-09-16 06:15:00,0.748
2025-09-16 06:30:00,0.747
2025-09-16 06:45:00,0.352
2025-09-16 07:00:00,0.389
2025-09-16 07:15:00,-0.15
2025-09-16 07:30:00,-0.35
2025-09-16 07:45:00,-0.23
2025-09-16 08:00:00,-0.23
2025-09-16 08:15:00,-0.15
2025-09-16 08:30:00,-0.24
2025-09-16 08:45:00,-0.43
2025-09-16 09:00:00,-0.70
2025-09-16 09:15:00,-0.55
2025-09-16 09:30:00,-0.78
2025-09-16 09:45:00,-0.66
2025-09-16 10:00:00,-0.70
2025-09-16 10:15:00,-0.69
2025-09-16 10:30:00,-0.51
2025-09-16 10:45:00,-0.58
2025-09-16 11:00:00,-0.71
2025-09-16 11:15:00,-0.65
2025-09-16 11:30:00,-0.69
2025-09-16 11:45:00,-0.28
2025-09-16 12:00:00,0.0166
2025-09-16 12:15:00,-0.18
2025-09-16 12:30:00,0.0111
2025-09-16 12:45:00,0.199
2025-09-16 13:00:00,-0.0082
2025-09-16 13:15:00,0.153
2025-09-16 13:30:00,-0.00059
2025-09-16 13:45:00,0.0291
2025-09-16 14:00:00,0.185
2025-09-16 14:15:00,0.0765
2025-09-16 14:30:00,-0.064
2025-09-16 14:45:00,-0.040
2025-09-16 15:00:00,0.0241
2025-09-16 15:15:00,0.0862
2025-09-16 15:30:00,-0.17
2025-09-16 15:45:00,0.343
2025-09-16 16:00:00,0.228
2025-09-16 16:15:00,-0.0013
2025-09-16 16:30:00,-0.23
2025-09-16 16:45:00,-0.075
2025-09-16 17:00:00,-0.052
2025-09-16 17:15:00,0.0522
2025-09-16 17:30:00,-0.18
2025-09-16 17:45:00,-0.26
2025-09-16 18:00:00,-0.15
2025-09-16 18:15:00,-0.069
2025-09-16 18:30:00,1.06
2025-09-16 18:45:00,0.246
2025-09-16 19:00:00,-0.13
2025-09-16 19:15:00,-0.17
2025-09-16 19:30:00,-0.0081
2025-09-16 19:45:00,-0.14
2025-09-16 20:00:00,-0.10
2025-09-16 20:15:00,-0.067
2025-09-16 20:30:00,-0.054
2025-09-16 21:00:00,0.105
2025-09-16 21:15:00,0.0183
2025-09-16 21:30:00,0.0920
2025-09-16 21:45:00,0.177
2025-09-16 22:00:00,0.161
2025-09-16 22:15:00,0.499
2025-09-16 22:30:00,0.795
2025-09-16 22:45:00,0.550
2025-09-16 23:00:00,0.657
2025-09-16 23:15:00,0.629
2025-09-16 23:30:00,0.594
2025-09-16 23:45:00,0.641
2025-09-17 00:00:00,0.669
2025-09-17 00:15:00,0.614
2025-09-17 00:30:00,0.590
2025-09-17 00:45:00,0.634
2025-09-17 01:00:00,0.279
2025-09-17 01:15:00,0.450
2025-09-17 01:30:00,0.772
2025-09-17 01:45:00,0.897
2025-09-17 02:00:00,0.586
2025-09-17 02:15:00,0.567
2025-09-17 02:30:00,0.420
2025-09-17 02:45:00,0.745
2025-09-17 03:00:00,0.674
2025-09-17 03:15:00,0.707
2025-09-17 03:30:00,0.587
2025-09-17 03:45:00,0.600
2025-09-17 04:00:00,0.749
2025-09-17 04:15:00,0.762
2025-09-17 04:30:00,0.565
2025-09-17 04:45:00,0.519
2025-09-17 05:00:00,0.714
2025-09-17 05:15:00,0.696
2025-09-17 05:30:00,0.719
2025-09-17 05:45:00,0.449
2025-09-17 06:00:00,0.550
2025-09-17 06:15:00,0.400
2025-09-17 06:30:00,0.371
2025-09-17 06:45:00,0.546
2025-09-17 07:00:00,0.0882
2025-09-17 07:15:00,-0.27
2025-09-17 07:30:00,-0.054
2025-09-17 07:45:00,-0.36
2025-09-17 08:00:00,-0.65
2025-09-17 08:15:00,-0.51
2025-09-17 08:30:00,-0.64
2025-09-17 08:45:00,-0.42
2025-09-17 09:00:00,-0.52
2025-09-17 09:15:00,-0.63
2025-09-17 09:30:00,-0.40
2025-09-17 09:45:00,-0.55
2025-09-17 10:00:00,-0.40
2025-09-17 10:15:00,-0.35
2025-09-17 10:30:00,-0.50
2025-09-17 10:45:00,-0.23
2025-09-17 11:00:00,0.238
2025-09-17 11:15:00,-0.083
2025-09-17 11:30:00,0.00684
2025-09-17 11:45:00,0.231
2025-09-17 12:00:00,0.178
2025-09-17 12:15:00,0.151
2025-09-17 12:30:00,0.0946
2025-09-17 12:45:00,-0.11
2025-09-17 13:00:00,-0.17
2025-09-17 13:15:00,0.0483
2025-09-17 13:30:00,0.132
2025-09-17 13:45:00,0.114
2025-09-17 14:00:00,-0.39
2025-09-17 14:15:00,-0.29
2025-09-17 14:30:00,-0.35
2025-09-17 14:45:00,-0.35
2025-09-17 15:00:00,-0.31
2025-09-17 15:15:00,-0.35
2025-09-17 15:30:00,-0.29
2025-09-17 15:45:00,-0.34
2025-09-17 16:00:00,-0.34
2025-09-17 16:15:00,-0.29
2025-09-17 16:30:00,-0.14
2025-09-17 16:45:00,-0.28
2025-09-17 17:00:00,-0.23
2025-09-17 17:15:00,-0.27
2025-09-17 17:30:00,-0.095
2025-09-17 17:45:00,0.127
2025-09-17 18:00:00,0.0284
2025-09-17 18:15:00,-0.20
2025-09-17 18:30:00,0.724
2025-09-17 18:45:00,0.843
2025-09-17 19:00:00,0.195
2025-09-17 19:15:00,-0.24
2025-09-17 19:30:00,0.457
2025-09-17 19:45:00,0.0250
2025-09-17 20:00:00,-0.29
2025-09-17 20:15:00,0.0836
