"Time","Fase B"
2025-09-14 02:30:00,2.47
2025-09-14 02:45:00,2.51
2025-09-14 03:00:00,2.46
2025-09-14 03:15:00,2.70
2025-09-14 03:30:00,2.43
2025-09-14 03:45:00,2.39
2025-09-14 04:00:00,2.39
2025-09-14 04:15:00,2.72
2025-09-14 04:30:00,2.53
2025-09-14 04:45:00,2.36
2025-09-14 05:00:00,2.46
2025-09-14 05:15:00,2.76
2025-09-14 05:30:00,2.48
2025-09-14 05:45:00,2.68
2025-09-14 06:00:00,3.00
2025-09-14 06:15:00,2.63
2025-09-14 06:30:00,2.53
2025-09-14 06:45:00,2.55
2025-09-14 07:00:00,2.59
2025-09-14 07:15:00,2.34
2025-09-14 07:30:00,2.78
2025-09-14 07:45:00,2.99
2025-09-14 08:00:00,2.78
2025-09-14 08:15:00,2.55
2025-09-14 08:30:00,2.59
2025-09-14 08:45:00,2.60
2025-09-14 09:00:00,2.38
2025-09-14 09:15:00,2.46
2025-09-14 09:30:00,2.78
2025-09-14 09:45:00,2.46
2025-09-14 10:00:00,2.59
2025-09-14 10:15:00,2.72
2025-09-14 10:30:00,2.71
2025-09-14 10:45:00,2.85
2025-09-14 11:00:00,2.45
2025-09-14 11:15:00,2.64
2025-09-14 11:30:00,2.35
2025-09-14 11:45:00,2.54
2025-09-14 12:00:00,2.56
2025-09-14 12:15:00,2.72
2025-09-14 12:30:00,2.84
2025-09-14 12:45:00,2.84
2025-09-14 13:00:00,3.06
2025-09-14 13:15:00,2.82
2025-09-14 13:30:00,2.68
2025-09-14 13:45:00,2.74
2025-09-14 14:00:00,2.84
2025-09-14 14:15:00,3.00
2025-09-14 14:30:00,3.16
2025-09-14 14:45:00,2.98
2025-09-14 15:00:00,3.17
2025-09-14 15:15:00,3.17
2025-09-14 15:30:00,2.98
2025-09-14 15:45:00,2.90
2025-09-14 16:00:00,2.89
2025-09-14 16:15:00,2.91
2025-09-14 16:30:00,2.58
2025-09-14 16:45:00,2.66
2025-09-14 17:00:00,2.66
2025-09-14 17:15:00,2.79
2025-09-14 17:30:00,2.78
2025-09-14 17:45:00,2.77
2025-09-14 18:00:00,3.02
2025-09-14 18:15:00,2.62
2025-09-14 18:30:00,2.48
2025-09-14 18:45:00,2.54
2025-09-14 19:00:00,2.49
2025-09-14 19:15:00,2.79
2025-09-14 19:30:00,2.83
2025-09-14 19:45:00,2.67
2025-09-14 20:00:00,2.90
2025-09-14 20:15:00,2.70
2025-09-14 20:30:00,2.75
2025-09-14 20:45:00,2.93
2025-09-14 21:00:00,2.75
2025-09-14 21:15:00,2.92
2025-09-14 21:30:00,2.68
2025-09-14 21:45:00,3.07
2025-09-14 22:00:00,2.94
2025-09-14 22:15:00,2.82
2025-09-14 22:30:00,2.62
2025-09-14 22:45:00,2.77
2025-09-14 23:00:00,2.72
2025-09-14 23:15:00,2.60
