"Time","Fase A"
2025-10-17 11:30:00,2.77
2025-10-17 12:00:00,1.92
2025-10-17 12:30:00,1.98
2025-10-17 12:45:00,2.01
2025-10-17 13:00:00,3.21
2025-10-17 13:15:00,2.91
2025-10-17 13:30:00,2.94
2025-10-17 13:45:00,3.22
2025-10-17 14:00:00,3.55
2025-10-17 14:15:00,3.26
2025-10-17 14:30:00,5.76
2025-10-17 14:45:00,29.6
2025-10-17 15:00:00,35.7
2025-10-17 15:15:00,29.4
2025-10-17 15:30:00,29.0
2025-10-17 15:45:00,26.3
2025-10-17 16:00:00,26.3
2025-10-17 16:15:00,26.0
2025-10-17 16:30:00,24.7
2025-10-17 16:45:00,27.3
2025-10-17 17:00:00,26.3
2025-10-17 17:15:00,28.5
2025-10-17 17:30:00,27.9
2025-10-17 17:45:00,29.1
2025-10-17 18:00:00,26.7
2025-10-17 18:15:00,28.3
2025-10-17 18:30:00,26.5
2025-10-17 18:45:00,27.0
2025-10-17 19:00:00,25.7
2025-10-17 19:15:00,25.2
2025-10-17 19:30:00,22.4
2025-10-17 19:45:00,22.7
2025-10-17 20:00:00,16.2
2025-10-17 20:15:00,1.52
2025-10-17 20:30:00,0.889
2025-10-17 20:45:00,0.890
2025-10-17 21:00:00,0.899
2025-10-17 21:15:00,0.905
2025-10-17 21:30:00,0.881
2025-10-17 21:45:00,0.870
2025-10-17 22:00:00,0.923
2025-10-17 22:15:00,0.870
2025-10-17 22:30:00,0.876
2025-10-17 22:45:00,0.890
2025-10-17 23:00:00,0.860
2025-10-17 23:15:00,0.860
2025-10-17 23:30:00,0.860
2025-10-17 23:45:00,0.860
2025-10-18 00:00:00,0.866
2025-10-18 00:15:00,0.876
2025-10-18 00:30:00,0.860
2025-10-18 00:45:00,0.860
2025-10-18 01:00:00,0.860
2025-10-18 01:15:00,0.860
2025-10-18 01:30:00,0.871
2025-10-18 01:45:00,0.872
2025-10-18 02:00:00,0.860
2025-10-18 02:15:00,0.860
2025-10-18 02:30:00,0.860
2025-10-18 02:45:00,0.860
2025-10-18 03:00:00,0.870
2025-10-18 03:15:00,0.878
2025-10-18 03:30:00,0.860
2025-10-18 03:45:00,0.860
2025-10-18 04:00:00,0.860
2025-10-18 04:15:00,0.860
2025-10-18 04:30:00,0.863
2025-10-18 04:45:00,0.884
2025-10-18 05:00:00,0.860
2025-10-18 05:15:00,0.860
2025-10-18 05:30:00,0.860
2025-10-18 05:45:00,0.860
2025-10-18 06:00:00,0.860
2025-10-18 06:15:00,0.890
2025-10-18 06:30:00,0.860
2025-10-18 06:45:00,0.860
2025-10-18 07:00:00,0.752
2025-10-18 07:15:00,0.754
2025-10-18 07:30:00,0.688
2025-10-18 07:45:00,0.994
2025-10-18 08:00:00,1.37
2025-10-18 08:15:00,1.97
2025-10-18 08:30:00,2.36
2025-10-18 08:45:00,2.20
2025-10-18 09:00:00,2.22
2025-10-18 09:15:00,2.34
2025-10-18 09:30:00,2.86
2025-10-18 09:45:00,3.40
2025-10-18 10:00:00,3.69
2025-10-18 10:15:00,1.97
2025-10-18 10:30:00,2.32
2025-10-18 10:45:00,2.27
2025-10-18 11:00:00,2.17
2025-10-18 11:15:00,2.17
2025-10-18 11:30:00,2.20
2025-10-18 11:45:00,2.26
2025-10-18 12:00:00,2.21
2025-10-18 12:15:00,2.41
2025-10-18 12:30:00,2.59
2025-10-18 12:45:00,2.67
2025-10-18 13:00:00,2.77
